ID   MARCA     PREÇO    PROCESSADOR     RAM       ARMAZENAMENTO
441  LG        299€   INTEL_CORE_I9   16GB      400GB               
442  SAMSUNG   999€   PENTIUM_G5400   12GB      850GB               
443  MICROSOFT 999€   PENTIUM_G5400   12GB      1000GB              
444  ASUS      299€   AMD_RYZEN_3     16GB      550GB               
445  HP        449€   PENTIUM_G5400   16GB      1500GB              
446  LG        649€   AMD_RYZEN_3     4GB       500GB               
447  TOSHIBA   1299€  AMD_RYZEN_5     4GB       650GB               
448  ASUS      1499€  AMD_RYZEN_7     4GB       600GB               
449  TOSHIBA   1299€  AMD_RYZEN_3     4GB       700GB               
450  ASUS      649€   INTEL_CORE_I3   8GB       750GB               
451  MICROSOFT 349€   AMD_RYZEN_5     8GB       1000GB              
452  INSYS     599€   AMD_RYZEN_7     8GB       850GB               
453  SAMSUNG   549€   PENTIUM_G5400   12GB      900GB               
454  TOSHIBA   1199€  INTEL_CORE_I9   8GB       700GB               
455  ASUS      899€   INTEL_CORE_I7   4GB       800GB               
456  ACER      449€   INTEL_CORE_I3   16GB      700GB               
457  MSI       349€   AMD_RYZEN_7     12GB      400GB               
458  SAMSUNG   549€   AMD_RYZEN_7     16GB      250GB               
459  ACER      999€   AMD_RYZEN_7     8GB       900GB               
460  INSYS     299€   AMD_RYZEN_5     4GB       800GB               
461  LENOVO    599€   AMD_RYZEN_5     8GB       550GB               
462  ASUS      1099€  AMD_RYZEN_3     16GB      950GB               
463  LG        1499€  INTEL_CORE_I3   4GB       350GB               
464  MICROSOFT 749€   AMD_RYZEN_7     16GB      350GB               
465  LENOVO    549€   INTEL_CORE_I7   16GB      450GB               
466  LG        699€   INTEL_CORE_I9   4GB       850GB               
467  MSI       649€   AMD_RYZEN_7     16GB      650GB               
468  LG        799€   PENTIUM_G5400   8GB       600GB               
469  ASUS      849€   PENTIUM_G5400   12GB      450GB               
470  HP        349€   AMD_RYZEN_7     16GB      500GB               
471  LENOVO    799€   AMD_RYZEN_7     16GB      550GB               
472  MSI       599€   AMD_RYZEN_7     8GB       500GB               
473  LENOVO    349€   INTEL_CORE_I7   8GB       600GB               
474  TOSHIBA   1299€  INTEL_CORE_I9   16GB      300GB               
475  ASUS      1299€  INTEL_CORE_I5   4GB       850GB               
476  MSI       799€   AMD_RYZEN_5     8GB       600GB               
477  SAMSUNG   1299€  AMD_RYZEN_3     4GB       400GB               
478  ACER      299€   AMD_RYZEN_5     16GB      300GB               
479  INSYS     1299€  PENTIUM_G5400   4GB       600GB               
480  SAMSUNG   649€   INTEL_CORE_I9   4GB       450GB               
481  MSI       299€   INTEL_CORE_I3   4GB       2000GB              
482  ASUS      499€   AMD_RYZEN_7     4GB       950GB               
483  HP        799€   INTEL_CORE_I7   8GB       400GB               
484  LG        599€   INTEL_CORE_I5   4GB       300GB               
485  MICROSOFT 349€   INTEL_CORE_I5   4GB       600GB               
486  ASUS      549€   AMD_RYZEN_5     8GB       700GB               
487  SAMSUNG   1399€  INTEL_CORE_I7   4GB       750GB               
488  INSYS     999€   INTEL_CORE_I3   4GB       700GB               
489  LG        899€   INTEL_CORE_I3   8GB       600GB               
490  INSYS     599€   AMD_RYZEN_3     16GB      850GB               
491  TOSHIBA   399€   INTEL_CORE_I3   16GB      950GB               
492  LENOVO    949€   INTEL_CORE_I3   4GB       850GB               
493  LENOVO    699€   AMD_RYZEN_7     12GB      450GB               
494  HP        1399€  INTEL_CORE_I7   16GB      400GB               
495  SAMSUNG   499€   PENTIUM_G5400   16GB      850GB               
496  ASUS      499€   INTEL_CORE_I5   8GB       950GB               
497  ACER      649€   AMD_RYZEN_3     8GB       2000GB              
498  ACER      499€   PENTIUM_G5400   16GB      2000GB              
499  ACER      649€   INTEL_CORE_I9   4GB       1000GB              
500  TOSHIBA   999€   INTEL_CORE_I7   16GB      450GB               
501  SAMSUNG   1399€  INTEL_CORE_I5   8GB       650GB               
502  ACER      749€   AMD_RYZEN_7     4GB       2000GB              
503  MICROSOFT 299€   INTEL_CORE_I5   8GB       2000GB              
504  DELL      1099€  PENTIUM_G5400   8GB       900GB               
505  TOSHIBA   749€   INTEL_CORE_I7   4GB       850GB               
506  LENOVO    949€   INTEL_CORE_I9   16GB      950GB               
507  DELL      449€   AMD_RYZEN_5     16GB      950GB               
508  MSI       599€   INTEL_CORE_I3   12GB      250GB               
509  LG        399€   INTEL_CORE_I5   4GB       500GB               
510  HP        1199€  INTEL_CORE_I5   8GB       900GB               
511  MSI       299€   PENTIUM_G5400   16GB      650GB               
512  ACER      749€   AMD_RYZEN_3     8GB       1000GB              
513  MSI       899€   AMD_RYZEN_3     8GB       600GB               
514  ACER      1199€  AMD_RYZEN_5     8GB       950GB               
515  LENOVO    499€   AMD_RYZEN_3     12GB      2000GB              
516  DELL      299€   INTEL_CORE_I7   16GB      850GB               
517  INSYS     1299€  INTEL_CORE_I9   8GB       250GB               
518  HP        1399€  AMD_RYZEN_5     4GB       500GB               
519  ASUS      849€   AMD_RYZEN_5     12GB      2000GB              
520  TOSHIBA   1199€  PENTIUM_G5400   12GB      2000GB              
521  ASUS      299€   INTEL_CORE_I5   4GB       400GB               
522  DELL      1499€  AMD_RYZEN_3     16GB      400GB               
523  INSYS     299€   INTEL_CORE_I5   4GB       250GB               
524  SAMSUNG   549€   INTEL_CORE_I3   16GB      550GB               
525  LG        699€   INTEL_CORE_I7   12GB      1500GB              
526  ACER      449€   INTEL_CORE_I5   8GB       450GB               
527  DELL      849€   INTEL_CORE_I5   8GB       900GB               
528  ASUS      899€   INTEL_CORE_I9   16GB      1500GB              
529  INSYS     949€   INTEL_CORE_I7   4GB       750GB               
530  ACER      399€   AMD_RYZEN_3     4GB       1500GB              
531  LENOVO    1299€  AMD_RYZEN_3     8GB       600GB               
532  SAMSUNG   799€   INTEL_CORE_I3   8GB       650GB               
533  ACER      349€   PENTIUM_G5400   8GB       550GB               
534  HP        499€   INTEL_CORE_I9   12GB      700GB               
535  SAMSUNG   1099€  INTEL_CORE_I3   4GB       700GB               
536  ACER      749€   AMD_RYZEN_3     16GB      1000GB              
537  MSI       749€   PENTIUM_G5400   4GB       600GB               
538  LENOVO    549€   PENTIUM_G5400   4GB       950GB               
539  SAMSUNG   1399€  INTEL_CORE_I5   12GB      750GB               
540  MSI       849€   INTEL_CORE_I7   8GB       650GB               
541  INSYS     699€   INTEL_CORE_I5   4GB       700GB               
542  ACER      699€   INTEL_CORE_I3   12GB      800GB               
543  SAMSUNG   849€   INTEL_CORE_I3   8GB       650GB               
544  ASUS      399€   INTEL_CORE_I9   12GB      950GB               
545  HP        899€   INTEL_CORE_I7   8GB       850GB               
546  MICROSOFT 949€   AMD_RYZEN_3     4GB       250GB               
547  HP        1499€  AMD_RYZEN_3     4GB       600GB               
548  MICROSOFT 399€   AMD_RYZEN_7     8GB       700GB               
549  SAMSUNG   649€   PENTIUM_G5400   4GB       500GB               
550  HP        499€   AMD_RYZEN_3     16GB      1500GB              
551  DELL      1399€  PENTIUM_G5400   4GB       750GB               
552  ASUS      699€   INTEL_CORE_I9   16GB      1000GB              
553  ACER      699€   AMD_RYZEN_3     8GB       300GB               
554  SAMSUNG   649€   AMD_RYZEN_3     16GB      950GB               
555  SAMSUNG   949€   INTEL_CORE_I9   4GB       850GB               
556  LENOVO    549€   AMD_RYZEN_5     16GB      1500GB              
557  LENOVO    1199€  INTEL_CORE_I3   12GB      950GB               
558  LG        1199€  AMD_RYZEN_5     8GB       900GB               
559  LENOVO    399€   AMD_RYZEN_7     12GB      1000GB              
560  LG        1299€  PENTIUM_G5400   12GB      400GB               
561  MICROSOFT 999€   AMD_RYZEN_3     8GB       900GB               
562  TOSHIBA   899€   INTEL_CORE_I9   4GB       250GB               
563  ACER      449€   AMD_RYZEN_5     8GB       650GB               
564  HP        449€   INTEL_CORE_I3   8GB       250GB               
565  LENOVO    1099€  INTEL_CORE_I9   8GB       400GB               
566  ACER      1499€  AMD_RYZEN_7     8GB       450GB               
567  MSI       599€   PENTIUM_G5400   12GB      650GB               
568  HP        449€   INTEL_CORE_I9   16GB      500GB               
569  SAMSUNG   299€   INTEL_CORE_I3   4GB       600GB               
570  ACER      849€   PENTIUM_G5400   12GB      1000GB              
571  MICROSOFT 599€   INTEL_CORE_I3   4GB       900GB               
572  ACER      949€   PENTIUM_G5400   4GB       450GB               
573  ASUS      549€   INTEL_CORE_I3   16GB      300GB               
574  DELL      899€   INTEL_CORE_I3   16GB      800GB               
575  LENOVO    749€   INTEL_CORE_I3   8GB       350GB               
576  HP        449€   INTEL_CORE_I3   16GB      1000GB              
577  SAMSUNG   849€   INTEL_CORE_I7   12GB      300GB               
578  DELL      699€   PENTIUM_G5400   4GB       1500GB              
579  LENOVO    699€   AMD_RYZEN_3     16GB      750GB               
580  ASUS      299€   PENTIUM_G5400   8GB       750GB               
581  LG        749€   INTEL_CORE_I7   12GB      850GB               
582  INSYS     349€   INTEL_CORE_I9   16GB      850GB               
583  HP        949€   AMD_RYZEN_7     4GB       1000GB              
584  TOSHIBA   1499€  INTEL_CORE_I7   4GB       750GB               
585  TOSHIBA   849€   PENTIUM_G5400   8GB       900GB               
586  SAMSUNG   1099€  INTEL_CORE_I5   4GB       800GB               
587  DELL      1399€  INTEL_CORE_I9   4GB       1000GB              
588  DELL      849€   PENTIUM_G5400   4GB       650GB               
589  DELL      1399€  AMD_RYZEN_3     8GB       950GB               
590  ACER      549€   INTEL_CORE_I3   16GB      850GB               
591  MSI       299€   PENTIUM_G5400   4GB       950GB               
592  LG        849€   PENTIUM_G5400   16GB      1500GB              
593  MSI       899€   INTEL_CORE_I7   16GB      950GB               
594  LG        549€   AMD_RYZEN_7     4GB       750GB               
595  DELL      699€   INTEL_CORE_I5   8GB       950GB               
596  LENOVO    699€   AMD_RYZEN_7     16GB      800GB               
597  MSI       399€   INTEL_CORE_I9   16GB      800GB               
598  LENOVO    1499€  AMD_RYZEN_3     16GB      350GB               
599  MICROSOFT 549€   AMD_RYZEN_7     12GB      750GB               
600  ASUS      649€   INTEL_CORE_I3   8GB       2000GB              
601  HP        949€   INTEL_CORE_I3   8GB       500GB               
602  SAMSUNG   799€   PENTIUM_G5400   4GB       250GB               
603  LG        299€   INTEL_CORE_I9   12GB      1500GB              
604  LENOVO    449€   AMD_RYZEN_5     8GB       650GB               
605  LENOVO    299€   INTEL_CORE_I7   16GB      900GB               
606  MICROSOFT 1499€  PENTIUM_G5400   4GB       900GB               
607  ACER      1399€  INTEL_CORE_I9   8GB       450GB               
608  ASUS      549€   PENTIUM_G5400   16GB      550GB               
609  MICROSOFT 899€   PENTIUM_G5400   8GB       250GB               
610  MICROSOFT 699€   INTEL_CORE_I3   16GB      350GB               
611  TOSHIBA   449€   INTEL_CORE_I5   16GB      350GB               
612  LG        299€   INTEL_CORE_I7   12GB      300GB               
613  ACER      799€   INTEL_CORE_I9   12GB      1500GB              
614  HP        1299€  AMD_RYZEN_7     12GB      800GB               
615  DELL      849€   AMD_RYZEN_7     16GB      300GB               
616  MSI       849€   AMD_RYZEN_7     4GB       750GB               
617  LG        999€   PENTIUM_G5400   16GB      750GB               
618  MICROSOFT 899€   INTEL_CORE_I5   12GB      300GB               
619  ASUS      1199€  INTEL_CORE_I9   16GB      550GB               
620  SAMSUNG   449€   INTEL_CORE_I9   4GB       400GB               
621  MSI       699€   INTEL_CORE_I3   8GB       850GB               
622  DELL      1499€  PENTIUM_G5400   16GB      250GB               
623  LENOVO    1299€  INTEL_CORE_I7   12GB      300GB               
624  MSI       449€   INTEL_CORE_I5   16GB      500GB               
625  INSYS     1299€  PENTIUM_G5400   8GB       900GB               
626  LENOVO    649€   AMD_RYZEN_3     12GB      900GB               
627  DELL      549€   INTEL_CORE_I3   16GB      800GB               
628  INSYS     299€   AMD_RYZEN_5     12GB      250GB               
629  INSYS     1099€  INTEL_CORE_I5   8GB       1000GB              
630  LENOVO    949€   INTEL_CORE_I5   8GB       400GB               
631  TOSHIBA   1499€  PENTIUM_G5400   4GB       1500GB              
632  LG        399€   AMD_RYZEN_5     8GB       650GB               
633  ASUS      599€   INTEL_CORE_I9   8GB       600GB               
634  ACER      949€   AMD_RYZEN_3     12GB      500GB               
635  DELL      849€   AMD_RYZEN_3     8GB       300GB               
636  ASUS      649€   AMD_RYZEN_3     12GB      750GB               
637  HP        999€   INTEL_CORE_I3   12GB      1000GB              
638  TOSHIBA   999€   PENTIUM_G5400   4GB       300GB               
639  MSI       1099€  INTEL_CORE_I3   8GB       1000GB              
640  ASUS      449€   INTEL_CORE_I3   4GB       700GB               
641  DELL      549€   AMD_RYZEN_3     12GB      250GB               
642  LENOVO    799€   INTEL_CORE_I9   12GB      700GB               
643  INSYS     999€   AMD_RYZEN_5     8GB       1000GB              
644  INSYS     1299€  AMD_RYZEN_5     16GB      700GB               
645  MSI       1099€  INTEL_CORE_I5   12GB      300GB               
646  LG        299€   INTEL_CORE_I9   4GB       950GB               
647  SAMSUNG   1199€  PENTIUM_G5400   16GB      750GB               
648  MICROSOFT 299€   INTEL_CORE_I7   8GB       550GB               
649  LENOVO    949€   PENTIUM_G5400   4GB       750GB               
650  LG        949€   AMD_RYZEN_3     16GB      800GB               
651  SAMSUNG   549€   INTEL_CORE_I7   8GB       700GB               
652  ACER      699€   AMD_RYZEN_5     8GB       300GB               
653  LENOVO    1399€  AMD_RYZEN_5     8GB       350GB               
654  ACER      599€   INTEL_CORE_I5   16GB      550GB               
655  ACER      649€   INTEL_CORE_I9   12GB      400GB               
656  LENOVO    349€   AMD_RYZEN_3     8GB       1000GB              
657  LENOVO    1099€  INTEL_CORE_I7   12GB      500GB               
658  TOSHIBA   1299€  AMD_RYZEN_3     4GB       250GB               
659  INSYS     749€   INTEL_CORE_I5   4GB       700GB               
660  HP        399€   INTEL_CORE_I7   8GB       1500GB              
661  DELL      1399€  AMD_RYZEN_3     16GB      400GB               
662  HP        299€   AMD_RYZEN_7     4GB       350GB               
663  MICROSOFT 749€   AMD_RYZEN_7     4GB       650GB               
664  INSYS     949€   INTEL_CORE_I9   16GB      450GB               
665  HP        1099€  INTEL_CORE_I7   4GB       1000GB              
666  ACER      749€   INTEL_CORE_I9   4GB       550GB               
667  MICROSOFT 849€   AMD_RYZEN_3     4GB       950GB               
668  SAMSUNG   1299€  AMD_RYZEN_3     16GB      300GB               
669  HP        999€   INTEL_CORE_I5   8GB       300GB               
670  TOSHIBA   299€   PENTIUM_G5400   12GB      400GB               
671  MSI       999€   PENTIUM_G5400   12GB      900GB               
672  ACER      349€   INTEL_CORE_I9   12GB      2000GB              
673  ASUS      349€   PENTIUM_G5400   16GB      2000GB              
674  HP        949€   PENTIUM_G5400   16GB      900GB               
675  MSI       599€   INTEL_CORE_I3   8GB       950GB               
676  LENOVO    649€   INTEL_CORE_I3   8GB       2000GB              
677  ACER      699€   PENTIUM_G5400   8GB       1000GB              
678  MICROSOFT 1299€  AMD_RYZEN_3     16GB      1500GB              
679  LENOVO    749€   INTEL_CORE_I5   16GB      550GB               
680  LG        849€   INTEL_CORE_I9   4GB       900GB               
681  MICROSOFT 449€   INTEL_CORE_I7   8GB       1000GB              
682  SAMSUNG   999€   AMD_RYZEN_7     8GB       1000GB              
683  ACER      449€   INTEL_CORE_I9   8GB       400GB               
684  MICROSOFT 399€   AMD_RYZEN_3     8GB       400GB               
685  SAMSUNG   1099€  INTEL_CORE_I3   16GB      350GB               
686  HP        399€   AMD_RYZEN_7     16GB      900GB               
687  SAMSUNG   999€   INTEL_CORE_I7   12GB      450GB               
688  MSI       599€   AMD_RYZEN_3     16GB      700GB               
689  MICROSOFT 949€   AMD_RYZEN_3     8GB       1000GB              
690  SAMSUNG   649€   INTEL_CORE_I5   4GB       700GB               
691  INSYS     649€   PENTIUM_G5400   16GB      400GB               
692  SAMSUNG   499€   AMD_RYZEN_3     8GB       300GB               
693  LENOVO    1499€  INTEL_CORE_I7   16GB      900GB               
694  TOSHIBA   899€   AMD_RYZEN_7     12GB      350GB               
695  ASUS      699€   AMD_RYZEN_7     16GB      950GB               
696  LENOVO    999€   INTEL_CORE_I7   4GB       350GB               
697  LENOVO    299€   AMD_RYZEN_5     16GB      2000GB              
698  ASUS      299€   PENTIUM_G5400   8GB       1000GB              
699  LENOVO    749€   AMD_RYZEN_3     12GB      500GB               
700  MICROSOFT 999€   AMD_RYZEN_5     16GB      950GB               
701  LENOVO    1299€  INTEL_CORE_I7   4GB       350GB               
702  LENOVO    849€   AMD_RYZEN_7     16GB      2000GB              
703  ACER      749€   INTEL_CORE_I3   16GB      500GB               
704  HP        749€   INTEL_CORE_I7   16GB      2000GB              
705  LG        1399€  INTEL_CORE_I5   4GB       450GB               
706  HP        949€   INTEL_CORE_I5   4GB       900GB               
707  HP        549€   INTEL_CORE_I3   16GB      900GB               
708  MSI       799€   AMD_RYZEN_7     4GB       300GB               
709  MICROSOFT 849€   AMD_RYZEN_5     4GB       800GB               
710  MSI       849€   AMD_RYZEN_5     8GB       700GB               
711  SAMSUNG   599€   INTEL_CORE_I9   12GB      250GB               
712  LG        899€   AMD_RYZEN_5     12GB      600GB               
713  MICROSOFT 999€   AMD_RYZEN_7     12GB      900GB               
714  ACER      499€   AMD_RYZEN_3     4GB       700GB               
715  INSYS     849€   INTEL_CORE_I3   8GB       400GB               
716  INSYS     549€   PENTIUM_G5400   16GB      950GB               
717  SAMSUNG   799€   AMD_RYZEN_3     16GB      400GB               
718  ASUS      449€   AMD_RYZEN_3     4GB       900GB               
719  MICROSOFT 899€   AMD_RYZEN_5     16GB      850GB               
720  MICROSOFT 549€   AMD_RYZEN_7     8GB       450GB               
721  TOSHIBA   949€   AMD_RYZEN_7     4GB       700GB               
722  SAMSUNG   799€   INTEL_CORE_I3   16GB      350GB               
723  ACER      1199€  AMD_RYZEN_7     8GB       550GB               
724  MSI       649€   AMD_RYZEN_5     8GB       900GB               
725  DELL      349€   INTEL_CORE_I7   16GB      1000GB              
726  LENOVO    999€   INTEL_CORE_I5   8GB       1000GB              
727  INSYS     999€   AMD_RYZEN_5     12GB      1500GB              
728  HP        299€   INTEL_CORE_I7   16GB      950GB               
729  ACER      399€   INTEL_CORE_I9   4GB       850GB               
730  MSI       1099€  AMD_RYZEN_3     12GB      800GB               
731  MICROSOFT 649€   INTEL_CORE_I5   16GB      350GB               
732  TOSHIBA   599€   INTEL_CORE_I9   16GB      400GB               
733  TOSHIBA   849€   INTEL_CORE_I5   12GB      400GB               
734  MICROSOFT 1399€  AMD_RYZEN_7     8GB       1500GB              
735  MSI       1299€  INTEL_CORE_I3   16GB      450GB               
736  MSI       299€   INTEL_CORE_I5   8GB       450GB               
737  MICROSOFT 1399€  PENTIUM_G5400   16GB      650GB               
738  INSYS     549€   INTEL_CORE_I3   4GB       1500GB              
739  LENOVO    549€   INTEL_CORE_I5   16GB      550GB               
740  ACER      999€   INTEL_CORE_I9   16GB      900GB               
741  TOSHIBA   949€   AMD_RYZEN_7     12GB      700GB               
742  DELL      599€   AMD_RYZEN_7     4GB       350GB               
743  ACER      849€   PENTIUM_G5400   16GB      800GB               
744  ASUS      1099€  PENTIUM_G5400   12GB      700GB               
745  ASUS      449€   INTEL_CORE_I5   8GB       950GB               
746  SAMSUNG   899€   INTEL_CORE_I3   16GB      450GB               
747  ACER      599€   INTEL_CORE_I9   4GB       900GB               
748  MICROSOFT 1199€  INTEL_CORE_I3   4GB       950GB               
749  INSYS     299€   INTEL_CORE_I7   4GB       550GB               
750  HP        349€   AMD_RYZEN_3     16GB      650GB               
751  LG        1499€  INTEL_CORE_I9   4GB       950GB               
752  MICROSOFT 299€   AMD_RYZEN_7     12GB      900GB               
753  ACER      1099€  INTEL_CORE_I5   4GB       550GB               
754  TOSHIBA   899€   AMD_RYZEN_5     12GB      450GB               
755  MSI       349€   INTEL_CORE_I9   4GB       250GB               
756  ACER      749€   INTEL_CORE_I9   8GB       950GB               
757  HP        599€   INTEL_CORE_I7   12GB      1000GB              
758  TOSHIBA   999€   PENTIUM_G5400   16GB      2000GB              
759  DELL      1199€  AMD_RYZEN_3     12GB      750GB               
760  MSI       949€   INTEL_CORE_I7   4GB       850GB               
761  ASUS      349€   AMD_RYZEN_5     4GB       700GB               
762  HP        1399€  AMD_RYZEN_3     12GB      750GB               
763  ACER      549€   AMD_RYZEN_7     16GB      750GB               
764  INSYS     349€   INTEL_CORE_I3   4GB       400GB               
765  HP        899€   AMD_RYZEN_7     4GB       1500GB              
766  LG        1299€  INTEL_CORE_I7   16GB      800GB               
767  ASUS      299€   PENTIUM_G5400   16GB      500GB               
768  DELL      1299€  AMD_RYZEN_7     8GB       900GB               
769  SAMSUNG   899€   INTEL_CORE_I7   12GB      750GB               
770  ASUS      349€   INTEL_CORE_I7   12GB      300GB               
771  INSYS     549€   INTEL_CORE_I5   12GB      550GB               
772  ASUS      499€   INTEL_CORE_I7   16GB      750GB               
773  LENOVO    1499€  AMD_RYZEN_5     4GB       400GB               
774  MSI       299€   AMD_RYZEN_3     4GB       800GB               
775  ACER      849€   INTEL_CORE_I3   4GB       300GB               
776  LENOVO    1399€  INTEL_CORE_I3   12GB      850GB               
777  MSI       299€   INTEL_CORE_I5   4GB       700GB               
778  ASUS      499€   INTEL_CORE_I7   16GB      350GB               
779  ACER      949€   INTEL_CORE_I5   4GB       800GB               
780  SAMSUNG   899€   AMD_RYZEN_7     16GB      750GB               
781  ASUS      549€   AMD_RYZEN_7     12GB      300GB               
782  HP        449€   INTEL_CORE_I9   4GB       700GB               
783  DELL      899€   INTEL_CORE_I5   8GB       900GB               
784  ACER      599€   PENTIUM_G5400   12GB      850GB               
785  MSI       1099€  AMD_RYZEN_7     12GB      850GB               
786  MSI       799€   INTEL_CORE_I5   16GB      450GB               
787  LG        749€   AMD_RYZEN_7     16GB      900GB               
788  DELL      1199€  INTEL_CORE_I5   4GB       500GB               
789  ASUS      949€   AMD_RYZEN_7     4GB       350GB               
790  LG        949€   INTEL_CORE_I7   4GB       700GB               
791  HP        1499€  AMD_RYZEN_7     8GB       800GB               
792  DELL      649€   INTEL_CORE_I3   16GB      2000GB              
793  LENOVO    549€   INTEL_CORE_I3   16GB      850GB               
794  DELL      1099€  INTEL_CORE_I3   8GB       300GB               
795  LG        549€   INTEL_CORE_I9   8GB       2000GB              
796  LG        1499€  AMD_RYZEN_7     12GB      850GB               
797  LENOVO    999€   INTEL_CORE_I5   4GB       500GB               
798  LENOVO    599€   INTEL_CORE_I3   4GB       2000GB              
799  HP        1199€  INTEL_CORE_I3   4GB       450GB               
800  INSYS     349€   AMD_RYZEN_7     16GB      2000GB              
801  MICROSOFT 299€   INTEL_CORE_I3   8GB       800GB               
802  TOSHIBA   699€   AMD_RYZEN_5     8GB       250GB               
803  DELL      549€   INTEL_CORE_I5   8GB       500GB               
804  LG        299€   INTEL_CORE_I3   4GB       350GB               
805  ASUS      899€   AMD_RYZEN_3     4GB       950GB               
806  HP        1399€  AMD_RYZEN_3     16GB      250GB               
807  MSI       1099€  PENTIUM_G5400   4GB       1500GB              
808  MICROSOFT 499€   INTEL_CORE_I9   8GB       600GB               
809  ASUS      1199€  AMD_RYZEN_7     16GB      950GB               
810  LG        399€   INTEL_CORE_I9   8GB       250GB               
811  TOSHIBA   849€   PENTIUM_G5400   12GB      250GB               
812  HP        1499€  INTEL_CORE_I5   16GB      250GB               
813  MICROSOFT 499€   INTEL_CORE_I5   12GB      650GB               
814  LENOVO    349€   AMD_RYZEN_3     12GB      550GB               
815  LENOVO    649€   INTEL_CORE_I9   12GB      450GB               
816  MSI       849€   INTEL_CORE_I5   16GB      950GB               
817  LG        1299€  INTEL_CORE_I9   16GB      550GB               
818  INSYS     999€   AMD_RYZEN_7     12GB      250GB               
819  HP        749€   PENTIUM_G5400   12GB      700GB               
820  MSI       549€   INTEL_CORE_I3   12GB      950GB               
821  MICROSOFT 1399€  INTEL_CORE_I3   8GB       700GB               
822  LENOVO    549€   INTEL_CORE_I5   16GB      2000GB              
823  DELL      1299€  AMD_RYZEN_7     16GB      900GB               
824  HP        499€   AMD_RYZEN_7     12GB      300GB               
825  LG        1099€  INTEL_CORE_I3   8GB       400GB               
826  HP        649€   AMD_RYZEN_5     8GB       850GB               
827  MSI       799€   AMD_RYZEN_5     8GB       850GB               
828  ASUS      899€   AMD_RYZEN_5     16GB      250GB               
829  MICROSOFT 949€   INTEL_CORE_I3   16GB      600GB               
830  ASUS      1299€  INTEL_CORE_I3   12GB      950GB               
831  ASUS      699€   AMD_RYZEN_3     8GB       350GB               
832  MSI       449€   INTEL_CORE_I7   16GB      400GB               
833  LG        749€   INTEL_CORE_I9   8GB       800GB               
834  SAMSUNG   1099€  INTEL_CORE_I5   12GB      450GB               
835  INSYS     849€   AMD_RYZEN_3     4GB       2000GB              
836  TOSHIBA   949€   INTEL_CORE_I5   4GB       800GB               
837  ASUS      849€   AMD_RYZEN_3     12GB      1000GB              
838  MSI       949€   INTEL_CORE_I9   12GB      700GB               
839  HP        1399€  INTEL_CORE_I5   4GB       850GB               
840  DELL      649€   INTEL_CORE_I5   12GB      450GB               
841  ASUS      999€   INTEL_CORE_I5   12GB      400GB               
842  INSYS     1099€  INTEL_CORE_I9   16GB      450GB               
843  INSYS     899€   INTEL_CORE_I9   4GB       900GB               
844  LG        1399€  INTEL_CORE_I7   4GB       1000GB              
845  INSYS     399€   INTEL_CORE_I7   12GB      850GB               
846  ACER      349€   AMD_RYZEN_3     12GB      850GB               
847  SAMSUNG   749€   INTEL_CORE_I5   12GB      800GB               
848  ACER      699€   INTEL_CORE_I3   12GB      800GB               
849  TOSHIBA   749€   INTEL_CORE_I7   4GB       450GB               
850  ACER      949€   AMD_RYZEN_3     12GB      1000GB              
851  MSI       399€   AMD_RYZEN_3     4GB       500GB               
852  MSI       1399€  INTEL_CORE_I3   8GB       450GB               
853  TOSHIBA   999€   INTEL_CORE_I3   12GB      800GB               
854  MICROSOFT 1499€  INTEL_CORE_I7   12GB      450GB               
855  TOSHIBA   699€   INTEL_CORE_I7   16GB      550GB               
856  LENOVO    799€   INTEL_CORE_I3   4GB       500GB               
857  HP        549€   AMD_RYZEN_3     16GB      950GB               
858  ASUS      649€   INTEL_CORE_I5   4GB       2000GB              
859  TOSHIBA   1299€  AMD_RYZEN_7     16GB      800GB               
860  LG        499€   PENTIUM_G5400   16GB      550GB               
861  ACER      849€   INTEL_CORE_I3   16GB      700GB               
862  LG        799€   PENTIUM_G5400   12GB      400GB               
863  SAMSUNG   649€   INTEL_CORE_I3   4GB       950GB               
864  SAMSUNG   699€   AMD_RYZEN_7     4GB       550GB               
865  LENOVO    599€   AMD_RYZEN_7     4GB       850GB               
866  INSYS     1399€  INTEL_CORE_I5   4GB       900GB               
867  SAMSUNG   599€   AMD_RYZEN_3     4GB       1500GB              
868  DELL      799€   INTEL_CORE_I9   8GB       250GB               
869  ACER      1199€  INTEL_CORE_I3   4GB       700GB               
870  TOSHIBA   899€   AMD_RYZEN_3     8GB       650GB               
871  DELL      949€   INTEL_CORE_I5   12GB      650GB               
872  INSYS     1399€  INTEL_CORE_I3   8GB       900GB               
873  HP        699€   PENTIUM_G5400   12GB      750GB               
874  ASUS      499€   INTEL_CORE_I9   16GB      750GB               
875  MICROSOFT 1199€  AMD_RYZEN_5     16GB      550GB               
876  INSYS     449€   AMD_RYZEN_3     12GB      2000GB              
877  SAMSUNG   899€   INTEL_CORE_I3   16GB      1000GB              
878  HP        449€   INTEL_CORE_I7   16GB      500GB               
879  ACER      1399€  INTEL_CORE_I3   16GB      1500GB              
880  DELL      1399€  AMD_RYZEN_7     16GB      2000GB              
881  INSYS     1199€  INTEL_CORE_I9   8GB       1500GB              
882  LENOVO    649€   AMD_RYZEN_3     8GB       450GB               
883  INSYS     849€   INTEL_CORE_I5   8GB       750GB               
